iid1	iid2	max_ibd	sum_ibd_8	n_ibd_8	sum_ibd_12	n_ibd_12	sum_ibd_16	n_ibd_16	sum_ibd_20	n_ibd_20	frac_gp1	frac_gp2
RKF105	RKF109	214.237	3240.52926400869	26	3240.52926400869	26	3240.52926400869	26	3221.2302640086905	25	0.7379844374661068	0.862081142093249
RKF185	RKF148	256.55600130558014	3235.174690681953	23	3235.174690681953	23	3235.174690681953	23	3235.174690681953	23	0.8066664144375922	0.8562924848347269
RKF218	RKF198	255.76780140399933	3227.9006259511184	21	3217.3811214039997	20	3217.3811214039997	20	3217.3811214039997	20	0.7906750911177531	0.872283808154566
RKF140	RKF016	222.9065	3223.3586066438447	26	3223.3586066438447	26	3223.3586066438447	26	3223.3586066438447	26	0.7660953678130478	0.8520802592914886
RKF218	RKF028	283.5614	3222.542374508381	23	3222.542374508381	23	3222.542374508381	23	3222.542374508381	23	0.7906750911177531	0.8328225694575814
RKF148	RKF226	283.56571	3219.6305199966737	26	3219.6305199966737	26	3219.6305199966737	26	3219.6305199966737	26	0.8562924848347269	0.8836341165046094
RKF105	RKF117	214.16981	3212.10370592864	28	3202.585404441671	27	3202.585404441671	27	3202.585404441671	27	0.7379844374661068	0.9103325640346562
RKF231	RKF120	283.6442	3209.897580552582	32	3209.897580552582	32	3209.897580552582	32	3191.313686776642	31	0.7193447088645908	0.8093778769878804
RKF201	RKF179	226.0668903589249	3201.8948946897467	31	3201.8948946897467	31	3201.8948946897467	31	3184.167594165036	30	0.7008815406151867	0.8119758364546681
RKF207	RKF226	268.7948	3199.270887916793	26	3199.270887916793	26	3187.011587916794	25	3187.011587916794	25	0.7671925642868853	0.8836341165046094
KFJ009	KFJ017	195.8170890808105	3183.033465582096	34	3183.033465582096	34	3170.2154628812905	33	3170.2154628812905	33	0.722384069211658	0.8991462045830023
RKC019	RKC023	219.118	3182.741582233737	27	3182.741582233737	27	3182.741582233737	27	3182.741582233737	27	0.751188629513324	0.918340837148298
HNJ011	HNJ012	272.18678	3175.4643443196983	41	3166.968047913906	40	3166.968047913906	40	3090.0767493142584	36	0.678660159156546	0.7849116567666755
RKF011	RKF191	177.98509001731873	3173.8285163300743	30	3173.8285163300743	30	3161.4669153300742	29	3161.4669153300742	29	0.707653891264046	0.8717793500056752
RKF013	RKF017	260.5873	3171.3493776497576	32	3159.4811771497566	31	3159.4811771497566	31	3142.5161753282387	30	0.7564223828080663	0.7524245519781065
KFJ005	KFJ006	280.0739	3169.44473647564	23	3169.44473647564	23	3169.44473647564	23	3151.821237439804	22	0.7998562294275661	0.9008865851966756
KFJ009	KFJ010	268.781	3150.4168958221817	26	3139.794096425667	25	3139.794096425667	25	3139.794096425667	25	0.722384069211658	0.8489778416758099
KFJ020	KFJ012	283.4682	3143.272693055115	32	3134.6989940576173	31	3134.6989940576173	31	3134.6989940576173	31	0.6489601856405988	0.871350560579118
RKF201	RKF129	223.2374	3132.447201465874	33	3132.447201465874	33	3105.9542014658737	31	3105.9542014658737	31	0.7008815406151867	0.8947195843264854
RKC027	RKC011	212.0523	3102.108776257453	39	3079.694473431526	37	3066.858172104774	36	2995.2724751691208	32	0.6432219741969657	0.8776562874402533
KFJ028	KFJ024	221.65719270706177	3098.3587605889206	39	3075.409360044754	37	3061.7741597826844	36	3061.7741597826844	36	0.6515833680148311	0.8118118875562786
RKF211	RKF037	268.781	3073.33649346287	35	3073.33649346287	35	3058.174085110972	34	3038.184886664698	33	0.6366892411688295	0.8975193270528293
