iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
RKC027	RKC050	20.78950405120849	40.12050628662108	2	40.12050628662108	2	40.12050628662108	2	20.78950405120849	1
RKF038	RKF139	19.19740140438079	40.03679454326628	3	19.19740140438079	1	19.19740140438079	1	0	0
KUP003	KFJ036	31.375789642333977	40.02948403358459	2	31.375789642333977	1	31.375789642333977	1	31.375789642333977	1
RKC047	RKC020	31.60839676856994	40.00340104103087	2	31.60839676856994	1	31.60839676856994	1	31.60839676856994	1
RKF064	RKF076	23.27160015702247	39.92279544472693	2	39.92279544472693	2	39.92279544472693	2	23.27160015702247	1
RKF164	RKF196	19.05779838562011	39.921498298645	3	19.05779838562011	1	19.05779838562011	1	0	0
RKF238	RKF160	39.77269530296325	39.77269530296325	1	39.77269530296325	1	39.77269530296325	1	39.77269530296325	1
RKF021	RKF143	25.97079873085022	39.71619606018066	2	39.71619606018066	2	25.97079873085022	1	25.97079873085022	1
RKF195	RKF147	39.45030570030212	39.45030570030212	1	39.45030570030212	1	39.45030570030212	1	39.45030570030212	1
RKF089	RKF189	39.31879997253418	39.31879997253418	1	39.31879997253418	1	39.31879997253418	1	39.31879997253418	1
KUP004	KFJ036	10.51530241966247	39.28480148315428	4	0	0	0	0	0	0
RKF040	RKC030	39.21490311622619	39.21490311622619	1	39.21490311622619	1	39.21490311622619	1	39.21490311622619	1
KFJ029	KFJ018	39.13549855351448	39.13549855351448	1	39.13549855351448	1	39.13549855351448	1	39.13549855351448	1
RKC039	RKC020	30.789101123809807	38.98240923881529	2	30.789101123809807	1	30.789101123809807	1	30.789101123809807	1
RKF007	RKF231	24.94939919561147	38.51580377668141	2	38.51580377668141	2	24.94939919561147	1	24.94939919561147	1
RKF053	RKF237	18.05089712142944	38.50309848785399	3	18.05089712142944	1	18.05089712142944	1	0	0
RKF154	RKF179	21.64620161056518	38.48630487918852	3	21.64620161056518	1	21.64620161056518	1	21.64620161056518	1
RKF209	RKC052	28.9849042892456	38.47340345382689	2	28.9849042892456	1	28.9849042892456	1	28.9849042892456	1
KUP001	KFJ032	10.53549945354461	38.464304804801934	4	0	0	0	0	0	0
